n, n * root(n), n * n, n * log(n) 
449500,0.0014305154258476237,0.002308023561029015,0.07368574621058566
449750,0.0014486187855170891,0.0010615389634452208,0.07463580809453739
450000,0.001424819202569566,6.757013976222545E-4,0.07342687006596674
450250,0.0014140702760787444,4.958451767504791E-4,0.0728900627415124
450500,0.0014387224296309098,4.0028999682042597E-4,0.07417821238368283
450750,0.001402564798588978,3.234891649093331E-4,0.07233096279004901
451000,0.0014163223485571179,2.789981479783335E-4,0.07305758732458106
451250,0.0014058095173516156,2.4169933615797543E-4,0.07253231648808815
451500,0.0014619299944485166,2.2301029742003234E-4,0.07544551729618257
451750,0.0013972186445860022,-2.039254879647459E-4,0.07212286595958321
452000,0.0013876682446234414,-2.2739599375637436E-4,0.0716466581225705
452250,0.0014047990604348795,-2.623793126705753E-4,0.07254811368981656
452500,0.001390756733395858,-3.0190841204627816E-4,0.0718397250503353
452750,0.001405197115042064,-3.640545591035144E-4,0.07260261406767234
453000,0.0013937353343814168,-4.4757370938844197E-4,0.07202724137186592
453250,0.0014016927886087512,-5.916988617231191E-4,0.0724553932313805
453500,0.00138707602972697,-8.537422355226229E-4,0.07171656796476274
453750,0.0014052002264300862,-0.0015944747170659372,0.0726705989777235
454000,0.00160596643772492,-0.011578307605751072,0.08307268279922075
454250,0.0013987978872174176,0.0023194750786065094,0.07237322511915252
454500,0.0014119712003061754,0.001050556598795038,0.07307182088132376
454750,0.0013936545375070528,6.686878528115428E-4,0.07214069167047615
455000,0.001411306116535191,4.998443333690542E-4,0.07307139785587866
455250,0.0013975121962022012,3.923382968757127E-4,0.07237403175487703
455500,0.0014085958870139591,3.276021456334798E-4,0.07296498363996567
